ATEU1ESP00005,EU-España,ICAR 05,"BALFEGO TUNA, S.L.","BALFEGO TUNA, S.L.","POLIGONO INDUSTRIAL, EDIFICI BALFEGÓ. L'AMETLLA DE MAR TARRAGONA",Balfego & Balfego S.L.,"Poligono Industrial, Edifici Balfegó. L'Ametlla de Mar Tarragona","A: 40º 51,5´N 00º 51,0 ´E B:40º 51,95´N 00º 51,17´E C:40º 51,57´N 00º 51,5´E D: 40º 51,9´N 00º 51,61´E",6160
ATEU1ESP00006,EU-España,ICAR 06,PISCIFACTORIAS ALBADALEJO S.L.,PISCIFACTORIAS ALBADALEJO S.L.,Av. Artero Guirao 240 30740 San Pedro del Pinatar (Murcia) España,PISCIFACTORIAS ALBADALEJO S.L.,AV. ARTERO GUIRAO 240 30740 SAN PEDRO DEL PINATAR (MURCIA) ESPAÑA,A:37º47´36.47''N 00º40'55.06''W B:37º47'35.98''N 00º40'30.55''W C:37º47´19.77''N 00º40'31.06''W D:37º47'20.26''N 00º40'55.57''W,0
ATEU1ESP00008,EU-España,ICAR 08,TUNA FARMS,"TUNA FARMS OF MEDITERRANEO, S.L.","C/ SIERRA DE LA PILA, Nº 4. SAN JAVIER (MURCIA)","(1) TUNA FARMS OF MEDITERRANEO, S.L.; (2) MAGURO BALEARES S.L.","(1) C/ SIERRA DE LA PILA, Nº 4. SAN JAVIER (MURCIA) (2) SIERRA DE LA PILA, 4, SAN JAVIER, MURCIA, SPAIN",A:37º34'25''N 00º52'32''W B:37º34'25''N 00º52'12''W C:37º34'13''N 00º52'32''W D:37º34'13''N 00º52'12''W,0
ATEU1ESP00011,EU-España,ICAR 11,CALADEROS DEL MEDITERRANEO 2,CALADEROS DEL MEDITERRANEO 2,"CTRA. DE LA PALMA, KM 7. PARAJE LA ESTRELLA, 30.593 CARTAGENA",CALADEROS DEL MEDITERRANEO S.L.,"CTRA. DE LA PALMA, KM 7. PARAJE LA ESTRELLA, 30.593 CARTAGENA","37º 34´06,341´´ N ; 000º 52´39,300´´ W 37º 33´59,998´´ N ; 000º 53´12,358´´ W 37º 33´44,272´´ N ; 000º 53´12,802´´ W 37º",1155
ATEU1ESP00013,EU-España,ICAR 13,NATURE PESCA S.L.,NATURE PESCA S.L.,"PARAJE CERRO ALTO S/N, A.C. 386 04620 VERA, ALMERIA",NATURE PESCA S.L.,"PARAJE CERRO ALTO S/N, A.C. 386 04620 VERA, ALMERIA","A: 37º 13,79ºN 0001º 44,803 W B:37º 13,1ºN 001W C:37º 13,6N 001º 44,5W D:37º 13,2ºN 001 45,2 W",0
ATEU1ESP00014,EU-España,ICAR 14,PISCIFACTORIAS DEL MEDITERRANEO,"PISCIFACTORIAS DEL MEDITERRANEO, S.L.","CTRA. DE LA PALMA, KM 7. PARAJE LA ESTRELLA, 30593 CARTAGENA","PISCIFACTORIAS DEL MEDITERRANEO, S.L.","CTRA. DE LA PALMA, KM 7. PARAJE LA ESTRELLA, 30593 CARTAGENA","A: 37º 49`,6N 000º 40´,7 W C: 37º 49´,6N 000º 40´,4W B: 37º 49´,0 N 000º 40´,5 W D: 37º 49´,0 N 000º 41´,0 W""",1680
ATEU1ESP00019,EU-España,ICAR 19,PISCIFACTORIAS DEL MEDITERRANEO 2,"PISCIFACTORIAS DEL MEDITERRÁNEO, S.L","Avd. del Pilar, 74 30740 San Pedro del Pinatar, Murcia","PISCIFACTORIAS DEL MEDITERRÁNEO, S.L","Avd. del Pilar, 74 30740 San Pedro del Pinatar, Murcia","A 37º 53,064’ N 0º 41,780’ W B 37º 52,987’ N 0º 41,453’ W C 37º 52,520’ N 0º 41,627’ W D 37º 52,597’ N 0º 41,954’ W",70
ATEU1ESP00018,EU-España,ICAR 18,ITSAS BALFEGO,ITSAS BALFEGÓ S.L.,"Poligono Industrial, Edifici Balfegó. L'Ametlla de Mar Tarragona",ITSAS BALFEGÓ S.L.,"Poligono Industrial, Edifici Balfegó. L'Ametlla de Mar Tarragona","A:43º22,337´N 02º10,962'W B:43º22,564'N 02º10,353'W C:43º22,166´N 02º10,080'W D:43º21,953’N 02º10,706'W",280
ATEU1GRC00002,EU-Greece,GR02/2007,GLARONISI FISHERIES Ltd,GLARONISI FISHERIES Ltd,"12 APOLLONOS ST., ATHENS 10557, GREECE",GLARONISI FISHERIES Ltd,"12 APOLLONOS ST., ATHENS 10557, GREECE","GLARONISI ISLAND, latitude - longitude, 38.11634853491745 22.97676785229843, 38.11476441906379 22.979998337758474, 38.11430500861842 22.979637418828407, 38.11588912375848 22.976406934730914",1100
ATEU1GRC00001,EU-Greece,GR 01/2004,AVRAMAR AQUACULTURE S.A.,AVRAMAR AQUACULTURE S.A.,"19,3 km Markopoulou - Paiania Ave., Paiania 19002, Greece",AVRAMAR AQUACULTURE S.A.,"19,3 km Markopoulou - Paiania Ave., Paiania 19002, Greece","ECHINADES ISLANDS, PREFECTURE OF KEFALLONIA - ITHAKI ISLANDS",1000
