year,item_category,price_high,price_mid,price_low
2004,bigeye_tuna,4681.764705882353,918.6666666666666,588.4901960784314
2004,bluefin_tuna,10256.029411764706,3641.176470588235,1653.235294117647
2004,seafood_other,1354.7848360655737,732.421106557377,460.56454918032784
2005,bigeye_tuna,4634.411764705882,858.7647058823529,508.7450980392157
2005,bluefin_tuna,9110.29411764706,3403.049019607843,1494.7058823529412
2005,seafood_other,1276.3476923076923,597.8215384615385,439.87692307692305
2006,bigeye_tuna,4572.64705882353,917.1960784313726,619.8039215686274
2006,bluefin_tuna,10102.64705882353,3897.5098039215686,1694.9411764705883
2006,seafood_other,1315.079510703364,642.6187563710499,441.7257900101937
2007,bigeye_tuna,4646.25,894.0192307692307,619.0
2007,bluefin_tuna,10110.288461538461,3999.9134615384614,1969.5192307692307
2007,seafood_other,1442.4403578528827,727.3807157057654,441.21570576540756
2008,bigeye_tuna,4568.529411764706,981.843137254902,741.0
2008,bluefin_tuna,10562.79411764706,4299.1274509803925,1915.735294117647
2008,seafood_other,1480.373991935484,709.023185483871,469.21774193548384
2009,bigeye_tuna,4237.058823529412,928.9019607843137,696.1176470588235
2009,bluefin_tuna,10206.617647058823,3817.9117647058824,1660.3235294117646
2009,seafood_other,1382.8024691358025,648.90329218107,423.9866255144033
2010,bigeye_tuna,3815.0,986.2745098039215,737.6862745098039
2010,bluefin_tuna,10819.117647058823,3728.421568627451,1874.5588235294117
2010,seafood_other,1320.2479423868313,606.9588477366256,425.261316872428
2011,bigeye_tuna,3549.0,1038.08,792.14
2011,bluefin_tuna,9662.1,3662.38,1870.05
2011,seafood_other,1392.9335443037974,649.5105485232068,450.48839662447256
2012,bigeye_tuna,3627.6470588235293,949.7058823529412,682.9607843137255
2012,bluefin_tuna,9962.64705882353,4135.3725490196075,1996.2745098039215
2012,seafood_other,1492.4161554192228,605.6625766871166,435.9355828220859
2013,bigeye_tuna,3557.6470588235293,849.4705882352941,610.3921568627451
2013,bluefin_tuna,17734.70588235294,3788.401960784314,1834.4117647058824
2013,seafood_other,1475.9232343909928,508.5455475946776,443.0818833162743
2014,bigeye_tuna,3737.3076923076924,953.9230769230769,724.25
2014,bluefin_tuna,12900.403846153846,4147.096153846154,2021.7692307692307
2014,seafood_other,1630.324570273003,577.118301314459,501.04954499494437
2015,bigeye_tuna,3701.076923076923,968.5576923076923,712.7692307692307
2015,bluefin_tuna,13681.73076923077,4603.201923076923,2111.1923076923076
2015,seafood_other,1590.8877855014896,631.7169811320755,563.9006951340616
2016,bigeye_tuna,3728.076923076923,1013.2115384615385,725.8846153846154
2016,bluefin_tuna,13811.538461538461,4640.134615384615,1977.75
2016,seafood_other,1497.679487179487,622.2001972386588,541.9575936883629
2017,bigeye_tuna,3415.764705882353,1181.137254901961,922.9803921568628
2017,bluefin_tuna,16826.823529411766,4870.156862745098,2047.764705882353
2017,seafood_other,1548.531914893617,593.177304964539,544.9371833839919
2018,bigeye_tuna,3278.25,1124.3333333333333,846.6666666666666
2018,bluefin_tuna,16050.375,5065.979166666667,2030.25
2018,seafood_other,1564.4023605150214,642.7896995708154,606.1609442060086
2019,bigeye_tuna,3190.32,1062.22,744.56
2019,bluefin_tuna,27652.32,5109.41,2068.0
2019,seafood_other,1508.1993896236013,719.0701932858597,624.5981688708036
2020,bigeye_tuna,2712.705882352941,881.843137254902,536.8235294117648
2020,bluefin_tuna,18016.941176470587,4009.1960784313724,1995.8823529411766
2020,seafood_other,1388.9630738522953,707.3293413173652,581.749500998004
2021,bigeye_tuna,2656.3846153846152,1052.576923076923,824.7307692307693
2021,bluefin_tuna,10801.038461538461,4080.971153846154,2035.3846153846155
2021,seafood_other,1371.7333994053517,525.7145688800792,501.56888007928643
2022,bigeye_tuna,2920.153846153846,1338.6346153846155,1067.9615384615386
2022,bluefin_tuna,9923.538461538461,4673.875,2216.076923076923
2022,seafood_other,1628.6206554121152,745.9384309831182,659.7120158887785
2023,bigeye_tuna,3071.769230769231,1137.4423076923076,773.4230769230769
2023,bluefin_tuna,13403.471153846154,5147.298076923077,2514.1153846153848
2023,seafood_other,1791.7742574257425,748.0435643564357,654.9792079207921
